"merchant","transaction_count","fraud_rate"
"fraud_Baumbach, Feeney and Morar","525",0.0419047619047619
"fraud_Kozey-Boehm","457",0.03938730853391685
"fraud_Kerluke-Abshire","472",0.038135593220338986
"fraud_Kuhic LLC","538",0.03717472118959108
"fraud_Mosciski, Ziemann and Farrell","498",0.03614457831325301
"fraud_Goyette Inc","531",0.035781544256120526
"fraud_Jast Ltd","509",0.03536345776031434
"fraud_Boyer-Reichert","517",0.03481624758220503
"fraud_Schumm PLC","497",0.03420523138832998
"fraud_Schmeler, Bashirian and Price","528",0.03409090909090909
