"hour","fraud_rate","transaction_count"
"22",0.02882864053029172,"66982"
"23",0.02837386742966142,"67104"
"1",0.015349086752665097,"42869"
"0",0.014940473389487554,"42502"
"2",0.014652100525131283,"42656"
"3",0.014239285463770488,"42769"
"5",0.001422778686775272,"42171"
"7",0.0013269198872118096,"42203"
"14",0.00132542190028512,"64885"
"19",0.0012364901996702693,"65508"
"18",0.0012263251124131353,"66051"
"13",0.0012248522521970788,"65314"
"15",0.0012081173250141457,"65391"
"17",0.0011917494270435446,"65450"
"16",0.0011563156133037155,"65726"
"8",0.001152805552287966,"42505"
"21",0.0011292020813941069,"65533"
"9",0.0011141400971909448,"42185"
"4",0.0010988223490910828,"41863"
"12",0.001026709778261336,"65257"
"11",0.0009980514234114348,"42082"
"20",0.0009524102122953086,"65098"
"10",0.0009462752241489438,"42271"
"6",0.0009456264775413711,"42300"
