"category","fraud_rate","transaction_count"
"shopping_net",0.017561485703740914,"97543"
"misc_net",0.014457945549638947,"63287"
"grocery_pos",0.014097607531665023,"123638"
"shopping_pos",0.007225383982446517,"116672"
"gas_transport",0.004693944204346076,"131659"
"misc_pos",0.003138534931893792,"79655"
"grocery_net",0.0029481650972454456,"45452"
"travel",0.0028637025699261858,"40507"
"entertainment",0.0024783542876592847,"94014"
"personal_care",0.002424028735758831,"90758"
"kids_pets",0.0021143893484319018,"113035"
"food_dining",0.0016509769191239982,"91461"
"home",0.0016082524468992406,"123115"
"health_fitness",0.0015486905995645036,"85879"
