"merchant","hour","fraud_rate","transaction_count"
"fraud_Baumbach, Feeney and Morar","0",0.014492753623188406,"69"
"fraud_Baumbach, Feeney and Morar","1",0.013513513513513514,"74"
"fraud_Baumbach, Feeney and Morar","2",0,"59"
"fraud_Baumbach, Feeney and Morar","3",0.014705882352941176,"68"
"fraud_Baumbach, Feeney and Morar","4",0,"55"
"fraud_Baumbach, Feeney and Morar","5",0,"49"
"fraud_Baumbach, Feeney and Morar","6",0,"61"
"fraud_Baumbach, Feeney and Morar","7",0,"72"
"fraud_Baumbach, Feeney and Morar","8",0,"86"
"fraud_Baumbach, Feeney and Morar","9",0,"81"
"fraud_Baumbach, Feeney and Morar","10",0,"61"
"fraud_Baumbach, Feeney and Morar","11",0,"77"
"fraud_Baumbach, Feeney and Morar","12",0,"86"
"fraud_Baumbach, Feeney and Morar","13",0,"100"
"fraud_Baumbach, Feeney and Morar","14",0,"90"
"fraud_Baumbach, Feeney and Morar","15",0.011235955056179775,"89"
"fraud_Baumbach, Feeney and Morar","16",0,"89"
"fraud_Baumbach, Feeney and Morar","17",0.012048192771084338,"83"
"fraud_Baumbach, Feeney and Morar","18",0,"102"
"fraud_Baumbach, Feeney and Morar","19",0.02247191011235955,"89"
"fraud_Baumbach, Feeney and Morar","20",0,"92"
"fraud_Baumbach, Feeney and Morar","21",0,"87"
"fraud_Baumbach, Feeney and Morar","22",0.13402061855670103,"97"
"fraud_Baumbach, Feeney and Morar","23",0.1592920353982301,"113"
"fraud_Boyer-Reichert","0",0,"62"
"fraud_Boyer-Reichert","1",0.025974025974025976,"77"
"fraud_Boyer-Reichert","2",0,"71"
"fraud_Boyer-Reichert","3",0,"57"
"fraud_Boyer-Reichert","4",0,"70"
"fraud_Boyer-Reichert","5",0,"71"
"fraud_Boyer-Reichert","6",0,"70"
"fraud_Boyer-Reichert","7",0,"65"
"fraud_Boyer-Reichert","8",0,"68"
"fraud_Boyer-Reichert","9",0,"82"
