"hour","fraud_rate","transaction_count"
"0",0.4174757281553398,"103"
"1",0.4563106796116505,"103"
"2",0.35074626865671643,"134"
"3",0.35964912280701755,"114"
"4",0.023255813953488372,"86"
"5",0.05128205128205128,"78"
"6",0.014492753623188406,"69"
"7",0.011494252873563218,"87"
"8",0.012345679012345678,"81"
"9",0.02666666666666667,"75"
"10",0.06451612903225806,"62"
"11",0.02197802197802198,"91"
"12",0.10429447852760736,"163"
"13",0.14130434782608695,"184"
"14",0.1657754010695187,"187"
"15",0.14942528735632185,"174"
"16",0.11049723756906077,"181"
"17",0.14935064935064934,"154"
"18",0.13170731707317074,"205"
"19",0.1564245810055866,"179"
"20",0.12643678160919541,"174"
"21",0.11864406779661017,"177"
"22",0.8172293364377182,"859"
"23",0.8064516129032258,"713"
